"Area","MTU","Biomass - Actual Aggregated [MW]","Energy storage - Actual Aggregated [MW]","Fossil Brown coal/Lignite - Actual Aggregated [MW]","Fossil Coal-derived gas - Actual Aggregated [MW]","Fossil Gas - Actual Aggregated [MW]","Fossil Hard coal - Actual Aggregated [MW]","Fossil Oil - Actual Aggregated [MW]","Fossil Oil shale - Actual Aggregated [MW]","Fossil Peat - Actual Aggregated [MW]","Geothermal - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Aggregated [MW]","Hydro Pumped Storage - Actual Consumption [MW]","Hydro Run-of-river and poundage - Actual Aggregated [MW]","Hydro Water Reservoir - Actual Aggregated [MW]","Marine - Actual Aggregated [MW]","Nuclear - Actual Aggregated [MW]","Other - Actual Aggregated [MW]","Other renewable - Actual Aggregated [MW]","Solar - Actual Aggregated [MW]","Waste - Actual Aggregated [MW]","Wind Offshore - Actual Aggregated [MW]","Wind Onshore - Actual Aggregated [MW]"
"Portugal (PT)","13.02.2022 01:00 - 13.02.2022 02:00 (UTC)","388","n/e","n/e","n/e","371","0","n/e","n/e","n/e","n/e","4","84","362","24","n/e","n/e","28","n/e","0","n/e","4","628"
"Portugal (PT)","13.02.2022 02:00 - 13.02.2022 03:00 (UTC)","383","n/e","n/e","n/e","248","0","n/e","n/e","n/e","n/e","0","214","367","0","n/e","n/e","28","n/e","0","n/e","9","647"
"Portugal (PT)","13.02.2022 03:00 - 13.02.2022 04:00 (UTC)","382","n/e","n/e","n/e","248","0","n/e","n/e","n/e","n/e","0","214","366","0","n/e","n/e","26","n/e","0","n/e","15","736"
"Portugal (PT)","13.02.2022 04:00 - 13.02.2022 05:00 (UTC)","382","n/e","n/e","n/e","248","0","n/e","n/e","n/e","n/e","0","405","320","0","n/e","n/e","25","n/e","0","n/e","22","943"
"Portugal (PT)","13.02.2022 05:00 - 13.02.2022 06:00 (UTC)","381","n/e","n/e","n/e","249","0","n/e","n/e","n/e","n/e","0","427","343","1","n/e","n/e","26","n/e","0","n/e","24","984"
"Portugal (PT)","13.02.2022 06:00 - 13.02.2022 07:00 (UTC)","384","n/e","n/e","n/e","248","0","n/e","n/e","n/e","n/e","0","750","307","8","n/e","n/e","26","n/e","0","n/e","25","1175"
"Portugal (PT)","13.02.2022 07:00 - 13.02.2022 08:00 (UTC)","393","n/e","n/e","n/e","254","0","n/e","n/e","n/e","n/e","0","913","293","0","n/e","n/e","27","n/e","9","n/e","25","1307"
"Portugal (PT)","13.02.2022 08:00 - 13.02.2022 09:00 (UTC)","397","n/e","n/e","n/e","254","0","n/e","n/e","n/e","n/e","0","1085","190","0","n/e","n/e","27","n/e","109","n/e","25","1551"
"Portugal (PT)","13.02.2022 09:00 - 13.02.2022 10:00 (UTC)","406","n/e","n/e","n/e","254","0","n/e","n/e","n/e","n/e","0","1133","148","0","n/e","n/e","27","n/e","255","n/e","25","1801"
"Portugal (PT)","13.02.2022 10:00 - 13.02.2022 11:00 (UTC)","408","n/e","n/e","n/e","252","0","n/e","n/e","n/e","n/e","0","1239","162","0","n/e","n/e","28","n/e","378","n/e","25","2268"
